PERMNO,date,TICKER,COMNAM,RET
10107,11/30/16,MSFT,MICROSOFT CORP,0.012183
10107,12/30/16,MSFT,MICROSOFT CORP,0.031198
10107,1/31/17,MSFT,MICROSOFT CORP,0.040393
10107,2/28/17,MSFT,MICROSOFT CORP,-0.004331
10107,3/31/17,MSFT,MICROSOFT CORP,0.029384
10107,4/28/17,MSFT,MICROSOFT CORP,0.039478
10107,5/31/17,MSFT,MICROSOFT CORP,0.025854
10107,6/30/17,MSFT,MICROSOFT CORP,-0.01303
10107,7/31/17,MSFT,MICROSOFT CORP,0.054693
10107,8/31/17,MSFT,MICROSOFT CORP,0.033838
10107,9/29/17,MSFT,MICROSOFT CORP,-0.003745
10107,10/31/17,MSFT,MICROSOFT CORP,0.11666
10107,11/30/17,MSFT,MICROSOFT CORP,0.016951
10107,12/29/17,MSFT,MICROSOFT CORP,0.016277
10107,1/31/18,MSFT,MICROSOFT CORP,0.110708
10107,2/28/18,MSFT,MICROSOFT CORP,-0.008631
10107,3/29/18,MSFT,MICROSOFT CORP,-0.026661
10107,4/30/18,MSFT,MICROSOFT CORP,0.024652
10107,5/31/18,MSFT,MICROSOFT CORP,0.061377
10107,6/29/18,MSFT,MICROSOFT CORP,-0.002327
10107,7/31/18,MSFT,MICROSOFT CORP,0.075753
10107,8/31/18,MSFT,MICROSOFT CORP,0.062877
10107,9/28/18,MSFT,MICROSOFT CORP,0.018161
10107,10/31/18,MSFT,MICROSOFT CORP,-0.066101
10107,11/30/18,MSFT,MICROSOFT CORP,0.042505
10107,12/31/18,MSFT,MICROSOFT CORP,-0.084047
10107,1/31/19,MSFT,MICROSOFT CORP,0.028158
10107,2/28/19,MSFT,MICROSOFT CORP,0.077181
10107,3/29/19,MSFT,MICROSOFT CORP,0.052754
10107,4/30/19,MSFT,MICROSOFT CORP,0.107343
10107,5/31/19,MSFT,MICROSOFT CORP,-0.049464
10107,6/28/19,MSFT,MICROSOFT CORP,0.083118
10107,7/31/19,MSFT,MICROSOFT CORP,0.017244
10107,8/30/19,MSFT,MICROSOFT CORP,0.015044
10107,9/30/19,MSFT,MICROSOFT CORP,0.008487
10107,10/31/19,MSFT,MICROSOFT CORP,0.031216
10107,11/29/19,MSFT,MICROSOFT CORP,0.059427
10107,12/31/19,MSFT,MICROSOFT CORP,0.041749
10107,1/31/20,MSFT,MICROSOFT CORP,0.079455
10107,2/28/20,MSFT,MICROSOFT CORP,-0.045292
10107,3/31/20,MSFT,MICROSOFT CORP,-0.026541
10107,4/30/20,MSFT,MICROSOFT CORP,0.136326
10107,5/29/20,MSFT,MICROSOFT CORP,0.025389
10107,6/30/20,MSFT,MICROSOFT CORP,0.110559
10107,7/31/20,MSFT,MICROSOFT CORP,0.007371
10107,8/31/20,MSFT,MICROSOFT CORP,0.10258
10107,9/30/20,MSFT,MICROSOFT CORP,-0.067397
10107,10/30/20,MSFT,MICROSOFT CORP,-0.03737
10107,11/30/20,MSFT,MICROSOFT CORP,0.060058
10107,12/31/20,MSFT,MICROSOFT CORP,0.039006
10107,1/29/21,MSFT,MICROSOFT CORP,0.042892
10107,2/26/21,MSFT,MICROSOFT CORP,0.004225
10107,3/31/21,MSFT,MICROSOFT CORP,0.014588
10107,4/30/21,MSFT,MICROSOFT CORP,0.069602
10107,5/28/21,MSFT,MICROSOFT CORP,-0.007693
10107,6/30/21,MSFT,MICROSOFT CORP,0.084989
10107,7/30/21,MSFT,MICROSOFT CORP,0.051717
10107,8/31/21,MSFT,MICROSOFT CORP,0.061528
10107,9/30/21,MSFT,MICROSOFT CORP,-0.066119
10107,10/29/21,MSFT,MICROSOFT CORP,0.176291
10107,11/30/21,MSFT,MICROSOFT CORP,-0.001236
10107,12/31/21,MSFT,MICROSOFT CORP,0.017333
10107,1/31/22,MSFT,MICROSOFT CORP,-0.075345
10107,2/28/22,MSFT,MICROSOFT CORP,-0.037205
10107,3/31/22,MSFT,MICROSOFT CORP,0.031862
10107,4/29/22,MSFT,MICROSOFT CORP,-0.099867
10107,5/31/22,MSFT,MICROSOFT CORP,-0.018125
10107,6/30/22,MSFT,MICROSOFT CORP,-0.055321
10107,7/29/22,MSFT,MICROSOFT CORP,0.093097
10107,8/31/22,MSFT,MICROSOFT CORP,-0.066432
10107,9/30/22,MSFT,MICROSOFT CORP,-0.109267
10107,10/31/22,MSFT,MICROSOFT CORP,-0.003306
10107,11/30/22,MSFT,MICROSOFT CORP,0.102055
10107,12/30/22,MSFT,MICROSOFT CORP,-0.060045
10107,1/31/23,MSFT,MICROSOFT CORP,0.033317
10107,2/28/23,MSFT,MICROSOFT CORP,0.009241
10107,3/31/23,MSFT,MICROSOFT CORP,0.155882
10107,4/28/23,MSFT,MICROSOFT CORP,0.065765
10107,5/31/23,MSFT,MICROSOFT CORP,0.070982
10107,6/30/23,MSFT,MICROSOFT CORP,0.036999
10107,7/31/23,MSFT,MICROSOFT CORP,-0.013567
10107,8/31/23,MSFT,MICROSOFT CORP,-0.022267
10107,9/29/23,MSFT,MICROSOFT CORP,-0.036643
10107,10/31/23,MSFT,MICROSOFT CORP,0.070815
10107,11/30/23,MSFT,MICROSOFT CORP,0.122889
10107,12/29/23,MSFT,MICROSOFT CORP,-0.007574
10107,1/31/24,MSFT,MICROSOFT CORP,0.057281
10107,2/29/24,MSFT,MICROSOFT CORP,0.042281
10107,3/28/24,MSFT,MICROSOFT CORP,0.017116
10107,4/30/24,MSFT,MICROSOFT CORP,-0.07461
10107,5/31/24,MSFT,MICROSOFT CORP,0.068194
10107,6/28/24,MSFT,MICROSOFT CORP,0.076651
10107,7/31/24,MSFT,MICROSOFT CORP,-0.063989
10107,8/30/24,MSFT,MICROSOFT CORP,-0.0011
10107,9/30/24,MSFT,MICROSOFT CORP,0.031548
10107,10/31/24,MSFT,MICROSOFT CORP,-0.055659
10107,11/29/24,MSFT,MICROSOFT CORP,0.044149
10107,12/31/24,MSFT,MICROSOFT CORP,-0.004629
12060,1/31/90,GE,GENERAL ELECTRIC CO,-0.034884
12060,2/28/90,GE,GENERAL ELECTRIC CO,-0.000482
12060,3/30/90,GE,GENERAL ELECTRIC CO,0.040486
12060,4/30/90,GE,GENERAL ELECTRIC CO,-0.003891
12060,5/31/90,GE,GENERAL ELECTRIC CO,0.083516
12060,6/29/90,GE,GENERAL ELECTRIC CO,0.005445
12060,7/31/90,GE,GENERAL ELECTRIC CO,0.034296
12060,8/31/90,GE,GENERAL ELECTRIC CO,-0.13438
12060,9/28/90,GE,GENERAL ELECTRIC CO,-0.113387
12060,10/31/90,GE,GENERAL ELECTRIC CO,-0.045872
12060,11/30/90,GE,GENERAL ELECTRIC CO,0.052885
12060,12/31/90,GE,GENERAL ELECTRIC CO,0.05726
12060,1/31/91,GE,GENERAL ELECTRIC CO,0.115468
12060,2/28/91,GE,GENERAL ELECTRIC CO,0.070469
12060,3/28/91,GE,GENERAL ELECTRIC CO,0.023897
12060,4/30/91,GE,GENERAL ELECTRIC CO,0.016158
12060,5/31/91,GE,GENERAL ELECTRIC CO,0.099081
12060,6/28/91,GE,GENERAL ELECTRIC CO,-0.042071
12060,7/31/91,GE,GENERAL ELECTRIC CO,-0.010135
12060,8/30/91,GE,GENERAL ELECTRIC CO,0.022184
12060,9/30/91,GE,GENERAL ELECTRIC CO,-0.066644
12060,10/31/91,GE,GENERAL ELECTRIC CO,-0.005405
12060,11/29/91,GE,GENERAL ELECTRIC CO,-0.061594
12060,12/31/91,GE,GENERAL ELECTRIC CO,0.189961
12060,1/31/92,GE,GENERAL ELECTRIC CO,-0.01634
12060,2/28/92,GE,GENERAL ELECTRIC CO,0.04485
12060,3/31/92,GE,GENERAL ELECTRIC CO,-0.029571
12060,4/30/92,GE,GENERAL ELECTRIC CO,0.011551
12060,5/29/92,GE,GENERAL ELECTRIC CO,-0.003263
12060,6/30/92,GE,GENERAL ELECTRIC CO,0.025205
12060,7/31/92,GE,GENERAL ELECTRIC CO,-0.016077
12060,8/31/92,GE,GENERAL ELECTRIC CO,-0.03268
12060,9/30/92,GE,GENERAL ELECTRIC CO,0.065405
12060,10/30/92,GE,GENERAL ELECTRIC CO,-0.019169
12060,11/30/92,GE,GENERAL ELECTRIC CO,0.084691
12060,12/31/92,GE,GENERAL ELECTRIC CO,0.034595
12060,1/29/93,GE,GENERAL ELECTRIC CO,0.00731
12060,2/26/93,GE,GENERAL ELECTRIC CO,-0.023222
12060,3/31/93,GE,GENERAL ELECTRIC CO,0.066924
12060,4/30/93,GE,GENERAL ELECTRIC CO,0.01683
12060,5/28/93,GE,GENERAL ELECTRIC CO,0.023448
12060,6/30/93,GE,GENERAL ELECTRIC CO,0.039137
12060,7/30/93,GE,GENERAL ELECTRIC CO,0.028721
12060,8/31/93,GE,GENERAL ELECTRIC CO,-0.002538
12060,9/30/93,GE,GENERAL ELECTRIC CO,-0.017761
12060,10/29/93,GE,GENERAL ELECTRIC CO,0.011734
12060,11/30/93,GE,GENERAL ELECTRIC CO,0.014175
12060,12/31/93,GE,GENERAL ELECTRIC CO,0.073393
12060,1/31/94,GE,GENERAL ELECTRIC CO,0.027414
12060,2/28/94,GE,GENERAL ELECTRIC CO,-0.022042
12060,3/31/94,GE,GENERAL ELECTRIC CO,-0.044176
12060,4/29/94,GE,GENERAL ELECTRIC CO,-0.0475
12060,5/31/94,GE,GENERAL ELECTRIC CO,0.044619
12060,6/30/94,GE,GENERAL ELECTRIC CO,-0.055578
12060,7/29/94,GE,GENERAL ELECTRIC CO,0.080429
12060,8/31/94,GE,GENERAL ELECTRIC CO,-0.012407
12060,9/30/94,GE,GENERAL ELECTRIC CO,-0.025427
12060,10/31/94,GE,GENERAL ELECTRIC CO,0.015584
12060,11/30/94,GE,GENERAL ELECTRIC CO,-0.058824
12060,12/30/94,GE,GENERAL ELECTRIC CO,0.117609
12060,1/31/95,GE,GENERAL ELECTRIC CO,0.009804
12060,2/28/95,GE,GENERAL ELECTRIC CO,0.063107
12060,3/31/95,GE,GENERAL ELECTRIC CO,-0.00621
12060,4/28/95,GE,GENERAL ELECTRIC CO,0.037037
12060,5/31/95,GE,GENERAL ELECTRIC CO,0.035714
12060,6/30/95,GE,GENERAL ELECTRIC CO,-0.020948
12060,7/31/95,GE,GENERAL ELECTRIC CO,0.046563
12060,8/31/95,GE,GENERAL ELECTRIC CO,-0.002119
12060,9/29/95,GE,GENERAL ELECTRIC CO,0.089766
12060,10/31/95,GE,GENERAL ELECTRIC CO,-0.007843
12060,11/30/95,GE,GENERAL ELECTRIC CO,0.061265
12060,12/29/95,GE,GENERAL ELECTRIC CO,0.079479
12060,1/31/96,GE,GENERAL ELECTRIC CO,0.065972
12060,2/29/96,GE,GENERAL ELECTRIC CO,-0.016287
12060,3/29/96,GE,GENERAL ELECTRIC CO,0.03755
12060,4/30/96,GE,GENERAL ELECTRIC CO,-0.008026
12060,5/31/96,GE,GENERAL ELECTRIC CO,0.071197
12060,6/28/96,GE,GENERAL ELECTRIC CO,0.048338
12060,7/31/96,GE,GENERAL ELECTRIC CO,-0.046571
12060,8/30/96,GE,GENERAL ELECTRIC CO,0.010638
12060,9/30/96,GE,GENERAL ELECTRIC CO,0.100271
12060,10/31/96,GE,GENERAL ELECTRIC CO,0.063187
12060,11/29/96,GE,GENERAL ELECTRIC CO,0.074935
12060,12/31/96,GE,GENERAL ELECTRIC CO,-0.044279
12060,1/31/97,GE,GENERAL ELECTRIC CO,0.046776
12060,2/28/97,GE,GENERAL ELECTRIC CO,-0.006039
12060,3/31/97,GE,GENERAL ELECTRIC CO,-0.030182
12060,4/30/97,GE,GENERAL ELECTRIC CO,0.118388
12060,5/30/97,GE,GENERAL ELECTRIC CO,0.087838
12060,6/30/97,GE,GENERAL ELECTRIC CO,0.076605
12060,7/31/97,GE,GENERAL ELECTRIC CO,0.082846
12060,8/29/97,GE,GENERAL ELECTRIC CO,-0.107843
12060,9/30/97,GE,GENERAL ELECTRIC CO,0.092068
12060,10/31/97,GE,GENERAL ELECTRIC CO,-0.050505
12060,11/28/97,GE,GENERAL ELECTRIC CO,0.143133
12060,12/31/97,GE,GENERAL ELECTRIC CO,-0.002707
12060,1/30/98,GE,GENERAL ELECTRIC CO,0.056218
12060,2/27/98,GE,GENERAL ELECTRIC CO,0.003226
12060,3/31/98,GE,GENERAL ELECTRIC CO,0.112379
12060,4/30/98,GE,GENERAL ELECTRIC CO,-0.011603
12060,5/29/98,GE,GENERAL ELECTRIC CO,-0.021277
12060,6/30/98,GE,GENERAL ELECTRIC CO,0.089955
12060,7/31/98,GE,GENERAL ELECTRIC CO,-0.012517
12060,8/31/98,GE,GENERAL ELECTRIC CO,-0.105521
12060,9/30/98,GE,GENERAL ELECTRIC CO,-0.001719
12060,10/30/98,GE,GENERAL ELECTRIC CO,0.099764
12060,11/30/98,GE,GENERAL ELECTRIC CO,0.032857
12060,12/31/98,GE,GENERAL ELECTRIC CO,0.132503
12060,1/29/99,GE,GENERAL ELECTRIC CO,0.028186
12060,2/26/99,GE,GENERAL ELECTRIC CO,-0.043504
12060,3/31/99,GE,GENERAL ELECTRIC CO,0.106293
12060,4/30/99,GE,GENERAL ELECTRIC CO,-0.047458
12060,5/28/99,GE,GENERAL ELECTRIC CO,-0.034994
12060,6/30/99,GE,GENERAL ELECTRIC CO,0.111248
12060,7/30/99,GE,GENERAL ELECTRIC CO,-0.032301
12060,8/31/99,GE,GENERAL ELECTRIC CO,0.03039
12060,9/30/99,GE,GENERAL ELECTRIC CO,0.058765
